CHR	POS	PVAL	START	END	Gene	BETA	FDR	RAW	Ensembl
5	132243576	9.3577575484862e-05	132191838	132295315	P4HA2	0.000102656976648336	0.0464278456655608	1.70213692148424e-07	ENSG00000072682
2	135858026	1.73561520448833e-18	135839626	135876426	MCM6	-0.000179517921491865	2.41111664207518e-14	7.63810514755439e-32	ENSG00000076003
12	112955800	8.77883657177741e-06	112938352	112973249	OAS3	-0.00012642642362025	0.00817468081063445	2.67892868021922e-09	ENSG00000111331
2	135812510	1.07770104469647e-09	135787840	135837180	LCT	8.23896094463548e-05	3.97504509930366e-06	3.30362899915786e-16	ENSG00000115850
2	135946277	2.13748686247944e-07	135906677	135985877	DARS	-9.8859646569408e-05	0.000494899458226073	3.83957441645666e-12	ENSG00000115866
2	136116257	1.45675869536351e-05	136114349	136118165	CXCR4	-4.05084965407228e-05	0.0126483073724937	6.52383023402293e-09	ENSG00000121966
17	75264016	2.42006589199075e-05	75261805	75266227	MRPS7	-3.54783172184251e-05	0.017694502827124	1.5906280420383e-08	ENSG00000125445
17	75249136	4.90660665621368e-05	75236599	75261673	GGA3	3.05208137821305e-05	0.0296359042035306	5.49448871210516e-08	ENSG00000125447
17	75220708	7.0246409937149e-05	75205659	75235758	NUP85	0.000101053254418755	0.039034525073875	1.03027713773298e-07	ENSG00000125450
5	132265562	1.09757256862323e-06	132257671	132273454	PDLIM4	-4.21038731544248e-05	0.00169416423592377	6.88728850999369e-11	ENSG00000131435
1	75406624	8.8266780995909e-06	75202131	75611116	SLC44A5	-0.000117785021396253	0.00817468081063445	2.70464868822326e-09	ENSG00000137968
6	30682142	4.16572102508437e-05	30676389	30687895	PPP1R18	-2.42322650979601e-05	0.0265196079251421	4.12392243567245e-08	ENSG00000146112
11	61814472	3.30958271920417e-05	61799625	61829318	FADS1	6.23599866112352e-05	0.0229883615675921	2.75482325158024e-08	ENSG00000149485
2	134587380	5.01208008776144e-13	134455759	134719000	TMEM163	0.000140027468485881	3.4813908289591e-09	4.00767003923138e-22	ENSG00000152128
2	135005974	1.49046425827708e-07	134964491	135047458	MAP3K19	0.00011267640291294	0.000414110589519703	2.03103681306598e-12	ENSG00000176601
6	30722814	1.63479216733052e-06	30720201	30725426	TUBB	4.19582077291171e-05	0.00227105327885556	1.39005142622852e-10	ENSG00000196230
5	132382683	1.60465481559484e-05	132369752	132395614	SLC22A5	-0.000128309412107324	0.013112861587202	7.73153823029734e-09	ENSG00000197375
12	111364886	6.88580934352491e-05	111360651	111369121	FAM109A	-1.75189571100969e-05	0.039034525073875	9.94882934868385e-08	ENSG00000198324
6	32958854	8.49263308051761e-05	32948613	32969094	HLA-DMA	5.44157128837269e-05	0.0436961699090928	1.43633793539208e-07	ENSG00000204257
6	32187511	1.05907027703761e-06	32184836	32190186	PBX2	-3.34293164267512e-05	0.00169416423592377	6.46704750336881e-11	ENSG00000204304
6	32179574	1.14455660791928e-09	32178354	32180793	RNF5	-6.43557241437124e-05	3.97504509930366e-06	3.67553215884007e-16	ENSG00000204308
6	31656840	1.93521405081147e-06	31655471	31658210	APOM	-2.599460472252e-05	0.00233541682898343	1.87122919047685e-10	ENSG00000204444
6	31150338	9.25842411824532e-07	31142439	31158238	CCHCR1	8.01382427876793e-05	0.00169416423592377	5.10217772374345e-11	ENSG00000204536
6	31117768	4.19976514794937e-05	31115090	31120446	CDSN	4.50673001385265e-05	0.0265196079251421	4.18319147063069e-08	ENSG00000204539
6	31127421	7.30919444209849e-05	31114750	31140092	PSORS1C1	-7.90660068744637e-05	0.0390535881498585	1.1044688877758e-07	ENSG00000204540
6	32121794	6.07626148851671e-06	32115335	32128253	ATF6B	-5.9524739595364e-05	0.00649318650757494	1.40259965714504e-09	ENSG00000213676
6	33069170	2.24888741807674e-05	33064569	33073772	HLA-DPA1	-0.000137993442621557	0.0173564133399567	1.39845655700282e-08	ENSG00000231389
6	31992352	2.01734825423274e-06	31982024	32002681	C4A	-8.15205920284303e-05	0.00233541682898343	2.01340158150337e-10	ENSG00000244731
